EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
8.5059996,3.5153,,9.9937,6.2452998,2.5883,,5.586,4.6964002,3.9468999,,,5.1170998,6.3311,12.871,,,5.5977998,12.0834,6.6146002,7.5801001,5.7268,,2.5848
8.5650997,3.556,,10.0839,6.2753,2.6341,,5.6113,4.7557001,4.0288,,,5.1483998,6.4131999,12.9064,,,5.6993999,12.1365,6.6701002,7.6255002,5.7933002,,2.6171999
8.6148005,3.585,,10.1397,6.3095999,2.6802001,,5.6691999,4.8016,4.0552001,,,5.1838002,6.474,12.9511,,,5.7364998,12.1938,6.7164001,7.6661,5.8315001,,2.6563001
8.6686001,3.6147001,,10.2872,6.3439999,2.6995001,,5.7270999,4.8797998,4.2017999,,,5.2189999,6.5707002,13,,,5.7737002,12.231,6.7672,7.6996999,5.8649001,,2.7385001
8.7257996,3.6443,,10.3413,6.3755002,2.7374001,,5.7673998,4.9370999,4.2897,,,5.2519002,6.6359,13.0445,,,5.8104,12.2887,6.8284998,7.8456001,5.9250998,,2.7988
8.7891998,3.6687,,10.4422,6.4315,2.7732,,5.7985001,4.9884,4.3464999,,,5.2947001,6.7161999,13.0838,,,5.8877001,12.3459,6.8649001,7.8931999,5.9686999,,2.8462999
8.8425999,3.7075,,10.561,6.4584999,2.7997999,,5.8274999,5.0419998,4.4366002,,,5.3287001,6.8067999,13.1237,,,5.9309001,12.3815,6.9154,7.9454002,6.0342002,,2.8917
8.8970003,3.7407,,10.6255,6.5271001,2.8225,,5.8913999,5.1039,4.4977999,,,5.3704,6.8843002,13.1655,,,5.9631,12.4346,6.973,7.9903002,6.086,,2.9289
9.0145998,3.7709999,,10.685,6.5929999,2.8464,,5.9654999,5.1626,4.5404,,,5.4165001,6.9777999,13.2042,,,6.0114999,12.4836,7.0135999,8.0383997,6.1262999,,2.9744
9.0656996,3.8025,,10.7469,6.6336002,2.8745,,5.9955001,5.2055998,4.6471,,,5.4481001,7.1128001,13.2528,,,6.0640998,12.5267,7.0623002,8.0846996,6.1652002,,2.9995
9.1251001,3.8388,,10.8042,6.6626,2.902,,6.0440998,5.2676001,4.6915998,,,5.4826002,7.2080002,13.2892,,,6.1114998,12.5911,7.1160002,8.1337996,6.2112999,,3.0488999
9.1704998,3.8871,,10.8813,6.6921,2.9375,,6.0792999,5.3192,4.7775002,,,5.5145001,7.2781,13.3357,,,6.1901999,12.6401,7.1550999,8.1836004,6.3016,,3.0711999
9.2129002,3.9154999,,10.9378,6.7175002,2.9981,,6.1251001,5.3734002,4.8438001,,,5.5468001,7.3442998,13.3846,,,6.2333002,12.6841,7.2625999,8.2277002,6.3589001,,3.1050999
9.2831001,3.948,,11.0047,6.7495999,3.0263,,6.1585999,5.4315,4.8985,,,5.5829,7.4180002,13.4292,,,6.2926002,12.7296,7.3231001,8.2755003,6.4116001,,3.1349001
9.3397999,3.9818001,,11.0801,6.7860999,3.0552001,,6.1988001,5.4789,4.9457002,,,5.6159,7.5019999,13.4736,,,6.3477998,12.774,7.3857999,8.3232002,6.4531002,,3.1643
9.3881998,4.0134001,,11.1373,6.8249998,3.076,,6.2368999,5.5275002,4.9958,,,5.6459999,7.5872002,13.5133,,,6.3902998,12.8305,7.4159999,8.3523998,6.5016999,,3.2028999
9.4661999,4.0524998,,11.2172,6.8537002,3.1791999,,6.2948999,5.5777998,5.0475001,,,5.6799998,7.6721001,13.5545,,,6.4342999,12.8659,7.4647999,8.4052,6.5412998,,3.2341001
9.5206003,4.0795999,,11.2792,6.9123998,3.2086999,,6.3351002,5.6241002,5.0974998,,,5.7059002,7.7648001,13.5992,,,6.4642,12.9207,7.5138998,8.4587002,6.6419001,,3.2686999
9.5689001,4.1085,,11.3351,6.9492002,3.2435,,6.3557,5.6662998,5.1364002,,,5.7451,7.8281999,13.6452,,,6.5416002,12.9661,7.5623002,8.493,6.6915998,,3.2987001
9.6103001,4.1370001,,11.3932,6.9826002,3.2688,,6.3955998,5.7217002,5.2315001,,,5.7814002,7.9232001,13.6894,,,6.5823002,13.0177,7.6052999,8.5431004,6.7438998,,3.335
9.6800003,4.1745,,11.455,7.0261002,3.2999001,,6.4418998,5.7869,5.2887998,,,5.8168001,7.9773998,13.7318,,,6.6341,13.0609,7.6336002,8.5822001,6.7855,,3.3573999
9.7497997,4.2062998,,11.5073,7.0637002,3.3296001,,6.4777999,5.8325,5.3564,,,5.8417001,8.0353003,13.7795,,,6.6603999,13.1052,7.6672001,8.6257,6.8302999,,3.3864999
9.8084002,4.2484999,,11.5659,7.0974998,3.3692999,,6.5159998,5.8864002,5.4411001,,,5.8723998,8.0924997,13.8191,,,6.7096,13.1693,7.7150998,8.6732998,6.8645,,3.4393001
9.8662996,4.2803998,,11.635,7.1248002,3.3977001,,6.6409001,5.9432001,5.4952002,,,5.8992,8.1961002,13.8545,,,6.763,13.2454,7.7697001,8.7055998,6.954,,3.4842
9.9406996,4.3295999,,11.6952,7.1556001,3.4342,,6.6876998,5.994,5.5391998,,,5.9323001,8.2852001,13.8956,,,6.8109002,13.3,7.8182001,8.7414999,6.9973998,,3.51
